node_id,detected,attack_type
1,0,
12,1,Interleaved_Jamming_Attack
27,1,Split_Path_Attack
30,0,
38,1,Interleaved_Jamming_Attack
41,1,Interleaved_Jamming_Attack
42,1,Interleaved_Jamming_Attack
44,0,
75,0,
110,0,
111,0,
118,1,Interleaved_Jamming_Attack
122,1,Flow_Stretching_Attack
123,0,
130,0,
132,0,
140,0,
143,1,Interleaved_Jamming_Attack
152,1,Split_Path_Attack
154,0,
155,1,Interleaved_Jamming_Attack
188,0,
195,1,Flow_Stretching_Attack
198,0,
239,1,Interleaved_Jamming_Attack
240,1,Interleaved_Jamming_Attack
241,0,
251,1,Interleaved_Jamming_Attack
70,0,
230,0,
252,0,
